name,price,size,Stadteil in Hamburg,adresse,date,wg_size,links
Tolle Unterkunft in beliebtem Viertel mittel- oder langfristig zu vermieten,Mein Alter,15 m²,Hamburg Altona-Altstadt, Behnstraße,01.04.2025,2er WG,https://www.wg-gesucht.de/
Schönes Zimmer in sanierter Altbauwohnung,,17 m²,Hamburg Harburg, Lassallestraße 48,01.03.2025,4er WG,#
Unmöbliertes 17 qm großes WG-Zimmer zum 01.03 in Hamburg Harburg,,13 m²,Hamburg Harburg, Lassallestraße 48,15.02.2025,3er WG,/wg-zimmer-in-Hamburg.55.0.1.0.html
Unmöbliertes 13 qm großes WG-Zimmer in 3er WG zum 15.02 zentral in Harburg,960 €,11 m²,Hamburg Eimsbüttel, Heußweg 104,01.03.2025,3er WG,/1-zimmer-wohnungen-in-Hamburg.55.1.1.0.html
"Zimmer in guter Lage, Altbau",15 m²,9 m²,Hamburg Heimfeld, Feldnerstraße 2,01.04.2025,6er WG,/wohnungen-in-Hamburg.55.2.1.0.html
Möbliertes 9 qm großes WG-Zimmer in Hamburg Heimfeld ganz in der Nähe der TUHH,669 €,8 m²,Hamburg Heimfeld, Grumbrechtstraße 50,01.04.2025,7er WG,/haeuser-in-Hamburg.55.3.1.0.html
Möbliertes 8 qm großes WG-Zimmer zum 01.04 in Hamburg Heimfeld - nah der TUHH,17 m²,30 m²,Hamburg Bahrenfeld, Steenkamp 35,08.02.2025,3er WG,/wg-zimmer-in-Hamburg-gesucht.55.0.1.0.html
zwei aneinanderliegende Dachzimmer ca 30qm,639 €,17 m²,Hamburg Heimfeld, Grumbrechtstraße 50,01.03.2025,8er WG,/1-zimmer-wohnungen-in-Hamburg-gesucht.55.1.1.0.html
Unmöbliertes 17qm großes WG-Zimmer zum 01.03. in Hamburg Heimfeld,13 m²,11 m²,Hamburg Horn, Weddestraße 80,01.04.2025,5er WG,/wohnungen-in-Hamburg-gesucht.55.2.1.0.html
Möbliertes 11 qm großes WG-Zimmer zum 01.04 in Hamburg Horn,510 €,12 m²,Hamburg Billstedt, Druckerstraße 17,01.03.2025,4er WG,/haeuser-in-Hamburg-gesucht.55.3.1.0.html
